                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8561,                 3.0944,                 1.9169,                 1.6197,                 5.1633,                 1.6644,                0.00398,                0.46827,                0.04629,                0.01581,                 2.0222,                 3.7796,                 2.3235,                 1.7855,                 7.5194,                 1.9757,             0.00053979,             0.00053979,             0.00053979
                      2,                 1.9083,                 2.6322,                 1.9647,                 1.6261,                 4.6047,                 1.6587,                0.00586,                0.59468,                0.05609,                0.01731,                 2.4231,                 3.4758,                 2.5554,                  2.202,                 7.4385,                 2.2679,              0.0010521,              0.0010521,              0.0010521
                      3,                 1.9725,                 2.6339,                 1.9841,                 1.7419,                 4.4056,                  1.721,                0.59915,                0.10955,                0.06003,                0.01933,                 2.4572,                 4.8396,                 2.9878,                 2.1475,                 6.8365,                 2.5407,              0.0015204,              0.0015204,              0.0015204
                      4,                 1.9079,                 2.5181,                 1.9661,                 1.7295,                 4.0216,                 1.7366,                0.12258,                0.13612,                0.05309,                0.01633,                 2.4554,                  4.775,                 3.0349,                 2.1004,                 6.6743,                 2.5461,               0.001469,               0.001469,               0.001469
                      5,                 1.8839,                 2.3987,                 1.9295,                 1.7553,                 3.6212,                  1.716,                0.57215,                0.07865,                 0.0545,                0.01658,                 2.4764,                 19.218,                 2.8634,                 2.3393,                 17.508,                 2.7709,               0.001469,               0.001469,               0.001469
                      6,                 1.9117,                 2.3708,                 1.9126,                 1.7627,                 3.4346,                 1.6994,                0.17631,                 0.2746,                0.13087,                0.04894,                 2.2104,                  3.446,                  2.411,                 2.0558,                 4.8405,                  2.183,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.8734,                 2.2764,                 1.8846,                 1.7668,                 3.2317,                 1.6837,                0.25461,                 0.2515,                0.16303,                0.05717,                 2.2214,                 2.8045,                 2.3709,                  2.059,                 3.9703,                 2.1021,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.8021,                 2.1797,                 1.8469,                 1.7239,                 3.0191,                 1.6596,                0.31333,                0.23088,                0.18035,                0.07683,                  2.091,                 2.7051,                 2.2031,                  1.896,                 3.5248,                 1.9342,              0.0012709,              0.0012709,              0.0012709
                      9,                 1.8046,                 2.1319,                   1.85,                 1.7253,                 2.9073,                  1.664,                0.30704,                0.25072,                0.19778,                0.08401,                 2.0594,                 2.7002,                 2.1588,                  1.971,                 3.6938,                 2.0093,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.7592,                 2.0854,                 1.7861,                 1.6927,                 2.8084,                 1.6053,                0.31237,                0.31094,                0.21042,                0.08326,                 2.1168,                 2.2873,                 2.1593,                 2.0396,                 3.1663,                 1.9787,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.7379,                 2.0161,                 1.7816,                 1.6855,                 2.7119,                  1.628,                0.32944,                0.26577,                0.21891,                0.09467,                 2.0409,                 2.3344,                 2.1408,                 1.9625,                 3.1294,                 1.8901,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.6822,                 1.9965,                 1.7597,                 1.6395,                  2.657,                 1.6035,                 0.4028,                0.27042,                0.24232,                0.10603,                 1.9966,                 2.1662,                 2.1143,                 1.8954,                 2.9477,                 1.8669,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.6983,                 2.0018,                 1.7713,                 1.6463,                  2.665,                 1.5976,                0.31039,                0.24493,                0.21453,                0.09634,                 2.1077,                 2.2469,                 2.2947,                 1.9419,                 2.9201,                 2.0741,             0.00094085,             0.00094085,             0.00094085
                     14,                 1.6554,                 1.9552,                 1.7449,                 1.5995,                 2.5369,                 1.5739,                0.36171,                0.30094,                 0.2666,                0.12608,                 1.9691,                 1.9832,                 2.0439,                 1.8643,                 2.6789,                 1.8275,             0.00087484,             0.00087484,             0.00087484
                     15,                 1.6133,                 1.8467,                 1.7005,                  1.594,                 2.4326,                 1.5334,                0.36454,                0.30548,                0.26374,                 0.1237,                 1.8955,                 1.9946,                 2.0128,                 1.8462,                 2.6985,                 1.8588,             0.00080883,             0.00080883,             0.00080883
                     16,                 1.6933,                 1.9325,                 1.8035,                 1.7015,                 2.5393,                 1.6506,                0.40303,                0.29782,                0.26662,                0.12574,                 1.8577,                 1.9543,                 2.0242,                 1.8506,                 2.6241,                 1.8638,             0.00074282,             0.00074282,             0.00074282
                     17,                 1.6618,                 1.8659,                 1.7832,                 1.6493,                 2.4254,                 1.6263,                0.37189,                0.38535,                0.29951,                0.14005,                 1.8741,                 2.0342,                 1.9868,                 1.8489,                   2.63,                 1.8727,              0.0006768,              0.0006768,              0.0006768
                     18,                 1.6618,                 1.7985,                 1.7791,                 1.6415,                 2.3572,                 1.6458,                0.32609,                0.34559,                0.27095,                0.13444,                  1.832,                  1.998,                 2.0412,                 1.7634,                 2.6081,                 1.8119,             0.00061079,             0.00061079,             0.00061079
                     19,                 1.6243,                 1.7722,                 1.7444,                 1.6347,                 2.3174,                  1.595,                0.45125,                0.36234,                0.35443,                0.16911,                 1.8302,                 1.8438,                 1.9469,                 1.7677,                 2.3541,                 1.7768,             0.00054478,             0.00054478,             0.00054478
                     20,                 1.5893,                 1.6821,                 1.6895,                 1.5907,                 2.2038,                 1.5699,                0.47366,                0.38424,                0.39242,                0.19565,                 1.8091,                 1.7337,                 1.9367,                 1.7751,                 2.2497,                 1.7857,             0.00047876,             0.00047876,             0.00047876
                     21,                 1.5359,                 1.6137,                 1.6732,                 1.5555,                 2.1007,                 1.5503,                0.44033,                0.34843,                0.35582,                0.18564,                 1.7745,                 1.7103,                  1.877,                 1.8025,                 2.2743,                 1.7642,             0.00041275,             0.00041275,             0.00041275
                     22,                 1.5415,                   1.57,                 1.6466,                 1.5648,                 2.0335,                 1.5418,                0.41651,                0.41032,                0.36083,                0.18547,                 1.7436,                 1.6941,                 1.8442,                 1.7427,                 2.2665,                 1.7135,             0.00034674,             0.00034674,             0.00034674
                     23,                 1.4828,                 1.5176,                 1.6046,                 1.5215,                 1.9725,                 1.5105,                0.48938,                0.41767,                0.39376,                 0.2012,                 1.7678,                 1.6468,                   1.84,                 1.7882,                 2.1369,                 1.7518,             0.00028072,             0.00028072,             0.00028072
                     24,                 1.4634,                 1.5297,                 1.5929,                 1.5089,                 2.0024,                 1.5067,                0.52462,                0.39307,                 0.4074,                0.21671,                 1.7078,                 1.6328,                 1.8228,                 1.7087,                 2.1051,                 1.7166,             0.00021471,             0.00021471,             0.00021471
                     25,                  1.447,                 1.4881,                 1.5834,                 1.4748,                 1.9605,                 1.4859,                0.53492,                0.40071,                  0.408,                0.21017,                 1.7238,                  1.596,                 1.8043,                 1.7426,                 2.1012,                 1.7216,              0.0001487,              0.0001487,              0.0001487
